Kurs:;52;;40;;46;;48;;41;;43;;44;;46;;48;;41;;43;;44;;46;;48;;45;;41;;47;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;46;;47;;48;;41;;42;;43;;44;;45;;40;;46;;47;;48;;41;;43;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Sportforum Süd;00:52;00:52;01:07;01:07;;;;;04:54;04:58;05:24;05:24;05:54;05:55;06:24;06:23;06:54;06:54;07:24;07:23;07:54;07:54;08:24;08:23;08:54;08:54;09:24;09:24;;;09:38;09:38;;;09:53;09:55;10:08;10:08;10:23;10:25;10:38;10:38;10:53;10:53;11:08;11:10;11:23;11:23;11:38;11:38;11:53;11:53;12:08;12:08;12:23;12:26;12:38;12:39;12:53;12:53;13:08;13:09;13:23;13:23;13:38;13:38;13:53;13:52;14:08;14:10;14:23;14:24;14:38;14:40;14:53;14:53;15:08;15:09;15:23;15:24;15:38;15:39;15:53;15:53;16:08;16:13;16:23;16:23;16:38;16:40;16:53;16:53;17:08;17:09;17:23;17:26;17:38;17:38;17:53;17:53;18:08;18:09;18:23;18:23;18:38;18:38;18:53;18:55;19:08;19:08;19:23;19:24;19:38;19:38;19:53;19:53;20:08;20:08;20:23;20:22;20:38;20:37;20:53;20:53;21:08;21:08;21:23;21:22;21:38;21:38;21:53;21:53;22:08;22:10;22:23;22:22;22:38;22:37;22:54;22:53;22:57;22:55;23:24;23:24;23:27;23:25;23:54;23:53;00:24;00:25
Angerbrücke, Strbf.;00:54;00:53;;;04:15;04:15;04:45;04:45;04:56;04:59;05:26;05:26;05:56;05:56;06:26;06:25;06:56;06:55;07:26;07:26;07:56;07:56;08:26;08:26;08:56;08:56;09:26;09:25;08:51;08:51;09:40;09:39;09:21;09:21;09:55;09:57;10:10;10:10;10:25;10:27;10:40;10:40;10:55;10:55;11:10;11:11;11:25;11:26;11:40;11:39;11:55;11:55;12:10;12:10;12:25;12:29;12:40;12:41;12:55;12:55;13:10;13:11;13:25;13:25;13:40;13:39;13:55;13:55;14:10;14:12;14:25;14:26;14:40;14:42;14:55;14:55;15:10;15:10;15:25;15:25;15:40;15:41;15:55;15:55;16:10;16:15;16:25;16:26;16:40;16:41;16:55;16:55;17:10;17:11;17:25;17:28;17:40;17:40;17:55;17:55;18:10;18:11;18:25;18:25;18:40;18:39;18:55;18:56;19:10;19:10;19:25;19:25;19:40;19:40;19:55;19:54;20:10;20:10;20:25;20:24;20:40;20:40;20:55;20:55;21:10;21:10;21:25;21:24;21:40;21:40;21:55;21:54;22:10;22:12;22:25;22:24;22:40;22:40;22:56;22:55;;;23:26;23:26;;;23:56;23:54;00:26;00:27
Lindenauer Markt;00:56;00:55;;;04:17;04:17;04:47;04:47;04:58;05:01;05:28;05:28;05:58;05:58;06:28;06:27;06:58;06:57;07:28;07:28;07:58;07:58;08:28;08:28;08:58;08:58;09:28;09:27;08:53;08:54;09:42;09:41;09:23;09:23;09:57;09:59;10:12;10:12;10:27;10:29;10:42;10:41;10:57;10:57;11:12;11:13;11:27;11:28;11:42;11:41;11:57;11:57;12:12;12:12;12:27;12:31;12:42;12:43;12:57;12:57;13:12;13:13;13:27;13:27;13:42;13:41;13:57;13:57;14:12;14:13;14:27;14:28;14:42;14:43;14:57;14:57;15:12;15:12;15:27;15:27;15:42;15:42;15:57;15:57;16:12;16:17;16:27;16:28;16:42;16:43;16:57;16:56;17:12;17:13;17:27;17:30;17:42;17:42;17:57;17:57;18:12;18:13;18:27;18:27;18:42;18:41;18:57;18:58;19:12;19:12;19:27;19:27;19:42;19:41;19:57;19:56;20:12;20:12;20:27;20:26;20:42;20:42;20:57;20:56;21:12;21:12;21:27;21:26;21:42;21:42;21:57;21:56;22:12;22:14;22:27;22:26;22:42;22:42;22:58;22:56;;;23:28;23:28;;;23:58;23:56;00:28;00:28
Lützner/Merseburger Str.;00:58;00:57;;;04:19;04:19;04:49;04:49;05:00;05:03;05:30;05:30;06:00;06:00;06:30;06:29;07:00;06:59;07:30;07:30;08:00;08:00;08:30;08:30;09:00;09:00;09:30;09:29;08:55;08:55;09:44;09:43;09:25;09:25;09:59;10:00;10:14;10:13;10:29;10:31;10:44;10:43;10:59;10:58;11:14;11:15;11:29;11:29;11:44;11:43;11:59;11:59;12:14;12:14;12:29;12:33;12:44;12:44;12:59;12:58;13:14;13:14;13:29;13:28;13:44;13:43;13:59;13:58;14:14;14:15;14:29;14:29;14:44;14:45;14:59;14:59;15:14;15:14;15:29;15:29;15:44;15:44;15:59;15:59;16:14;16:19;16:29;16:29;16:44;16:45;16:59;16:58;17:14;17:15;17:29;17:32;17:44;17:44;17:59;17:59;18:14;18:15;18:29;18:29;18:44;18:43;18:59;19:00;19:14;19:14;19:29;19:29;19:44;19:43;19:59;19:58;20:14;20:14;20:29;20:27;20:44;20:43;20:59;20:58;21:14;21:14;21:29;21:28;21:44;21:44;21:59;21:58;22:14;22:15;22:29;22:28;22:44;22:43;23:00;22:58;;;23:30;23:30;;;00:00;23:59;00:30;00:30
Henriettenstraße;00:59;00:58;;;04:20;04:20;04:50;04:50;05:01;05:04;05:31;05:31;06:01;06:01;06:31;06:30;07:01;07:00;07:31;07:31;08:01;08:01;08:31;08:31;09:01;09:01;09:31;09:30;08:56;08:56;09:45;09:44;09:26;09:26;10:00;10:02;10:15;10:15;10:30;10:32;10:45;10:44;11:00;11:00;11:15;11:16;11:30;11:30;11:45;11:44;12:00;12:00;12:15;12:16;12:30;12:34;12:45;12:45;13:00;12:59;13:15;13:16;13:30;13:30;13:45;13:44;14:00;13:59;14:15;14:16;14:30;14:31;14:45;14:46;15:00;15:00;15:15;15:15;15:30;15:30;15:45;15:45;16:00;16:00;16:15;16:20;16:30;16:30;16:45;16:46;17:00;16:59;17:15;17:16;17:30;17:33;17:45;17:45;18:00;18:00;18:15;18:16;18:30;18:30;18:45;18:44;19:00;19:01;19:15;19:15;19:30;19:37;19:45;19:45;20:00;19:59;20:15;20:15;20:30;20:29;20:45;20:44;21:00;20:59;21:15;21:15;21:30;21:29;21:45;21:45;22:00;21:59;22:15;22:17;22:30;22:29;22:45;22:45;23:01;23:00;;;23:31;23:31;;;00:01;00:00;00:31;00:32
Lindenau, Bushof;01:00;00:59;;;04:21;04:21;04:51;04:53;05:02;05:05;05:32;05:32;06:02;06:02;06:32;06:31;07:02;07:01;07:32;07:32;08:02;08:02;08:32;08:33;09:02;09:02;09:32;09:32;08:57;08:58;09:46;09:45;09:27;09:28;10:01;10:03;10:16;10:16;10:31;10:33;10:46;10:45;11:01;11:01;11:16;11:18;11:31;11:32;11:46;11:45;12:01;12:01;12:16;12:17;12:31;12:35;12:46;12:47;13:01;13:01;13:16;13:17;13:31;13:31;13:46;13:45;14:01;14:00;14:16;14:18;14:31;14:32;14:46;14:47;15:01;15:01;15:16;15:16;15:31;15:31;15:46;15:47;16:01;16:01;16:16;16:22;16:31;16:31;16:46;16:47;17:01;17:00;17:16;17:18;17:31;17:35;17:46;17:46;18:01;18:01;18:16;18:17;18:31;18:31;18:46;18:45;19:01;19:02;19:16;19:16;19:31;19:39;19:46;19:46;20:01;20:00;20:16;20:17;20:31;20:30;20:46;20:46;21:01;21:00;21:16;21:16;21:31;21:30;21:46;21:46;22:01;22:00;22:16;22:18;22:31;22:31;22:46;22:46;23:02;23:02;;;23:32;23:32;;;00:02;00:02;00:32;00:33
Credéstraße;01:01;01:00;;;04:22;04:22;04:52;04:53;05:03;05:06;05:33;05:33;06:03;06:03;06:33;06:33;07:03;07:02;07:33;07:33;08:03;08:03;08:33;08:34;09:03;09:03;09:33;09:33;08:58;08:59;09:47;09:47;09:28;09:29;10:02;10:04;10:17;10:16;10:32;10:34;10:47;10:46;11:02;11:02;11:17;11:19;11:32;11:33;11:47;11:46;12:02;12:02;12:17;12:18;12:32;12:36;12:47;12:47;13:02;13:02;13:17;13:18;13:32;13:33;13:47;13:46;14:02;14:02;14:17;14:19;14:32;14:33;14:47;14:48;15:02;15:02;15:17;15:17;15:32;15:32;15:47;15:47;16:02;16:02;16:17;16:23;16:32;16:32;16:47;16:48;17:02;17:02;17:17;17:19;17:32;17:36;17:47;17:47;18:02;18:03;18:17;18:19;18:32;18:32;18:47;18:46;19:02;19:03;19:17;19:17;19:32;19:40;19:47;19:47;20:02;20:01;20:17;20:18;20:32;20:31;20:47;20:46;21:02;21:01;21:17;21:17;21:32;21:31;21:47;21:47;22:02;22:01;22:17;22:19;22:32;22:31;22:47;22:47;23:03;23:03;;;23:33;23:33;;;00:03;00:03;00:33;00:34
Saarländer Straße;01:02;01:01;;;04:23;04:23;04:53;04:55;05:04;05:07;05:34;05:34;06:04;06:04;06:34;06:34;07:04;07:04;07:34;07:34;08:04;08:05;08:34;08:35;09:04;09:04;09:34;09:34;08:59;09:00;09:48;09:48;09:29;09:31;10:03;10:05;10:18;10:18;10:33;10:35;10:48;10:47;11:03;11:03;11:18;11:20;11:33;11:34;11:48;11:48;12:03;12:03;12:18;12:19;12:33;12:37;12:48;12:49;13:03;13:03;13:18;13:19;13:33;13:34;13:48;13:48;14:03;14:04;14:18;14:20;14:33;14:34;14:48;14:50;15:03;15:04;15:18;15:19;15:33;15:33;15:48;15:49;16:03;16:03;16:18;16:24;16:33;16:34;16:48;16:49;17:03;17:04;17:18;17:20;17:33;17:38;17:48;17:48;18:03;18:04;18:18;18:20;18:33;18:33;18:48;18:48;19:03;19:04;19:18;19:18;19:33;19:41;19:48;19:48;20:03;20:03;20:18;20:19;20:33;20:32;20:48;20:48;21:03;21:03;21:18;21:18;21:33;21:32;21:48;21:48;22:03;22:02;22:18;22:20;22:33;22:33;22:48;22:48;23:04;23:04;;;23:34;23:34;;;00:04;00:04;00:34;00:35
Grünauer Allee;01:03;01:03;;;04:24;04:24;04:54;04:56;05:05;05:08;05:35;05:36;06:05;06:05;06:35;06:36;07:05;07:05;07:35;07:35;08:05;08:06;08:35;08:37;09:05;09:05;09:35;09:35;09:00;09:01;09:49;09:49;09:30;09:32;10:04;10:06;10:19;10:19;10:34;10:36;10:49;10:48;11:04;11:04;11:19;11:21;11:34;11:35;11:49;11:49;12:04;12:04;12:19;12:20;12:34;12:39;12:49;12:50;13:04;13:04;13:19;13:20;13:34;13:35;13:49;13:49;14:04;14:05;14:19;14:21;14:34;14:35;14:49;14:51;15:04;15:05;15:19;15:20;15:34;15:35;15:49;15:50;16:04;16:05;16:19;16:25;16:34;16:35;16:49;16:50;17:04;17:05;17:19;17:21;17:34;17:39;17:49;17:49;18:04;18:06;18:19;18:21;18:34;18:34;18:49;18:49;19:04;19:06;19:19;19:19;19:34;19:42;19:49;19:49;20:04;20:04;20:19;20:20;20:34;20:34;20:49;20:49;21:04;21:04;21:19;21:19;21:34;21:34;21:49;21:49;22:04;22:03;22:19;22:22;22:34;22:34;22:49;22:49;23:05;23:05;;;23:35;23:36;;;00:05;00:05;00:35;00:36
Parkallee;01:04;01:04;;;04:25;04:26;04:55;04:56;05:06;05:09;05:36;05:37;06:06;06:06;06:36;06:37;07:06;07:06;07:36;07:36;08:06;08:07;08:36;08:38;09:06;09:06;09:36;09:37;09:01;09:02;09:50;09:50;09:31;09:33;10:05;10:07;10:20;10:20;10:35;10:37;10:50;10:49;11:05;11:05;11:20;11:22;11:35;11:36;11:50;11:50;12:05;12:05;12:20;12:22;12:35;12:40;12:50;12:51;13:05;13:05;13:20;13:21;13:35;13:37;13:50;13:50;14:05;14:06;14:20;14:22;14:35;14:36;14:50;14:52;15:05;15:06;15:20;15:21;15:35;15:36;15:50;15:51;16:05;16:06;16:20;16:26;16:35;16:36;16:50;16:51;17:05;17:06;17:20;17:22;17:35;17:40;17:50;17:50;18:05;18:07;18:20;18:22;18:35;18:35;18:50;18:50;19:05;19:07;19:20;19:20;19:35;19:43;19:50;19:50;20:05;20:05;20:20;20:21;20:35;20:35;20:50;20:50;21:05;21:05;21:20;21:20;21:35;21:35;21:50;21:50;22:05;22:04;22:20;22:23;22:35;22:35;22:50;22:50;23:06;23:06;;;23:36;23:37;;;00:06;00:06;00:36;00:37
Schönauer Ring;01:06;01:05;;;04:27;04:27;04:57;04:58;05:08;05:11;05:38;05:38;06:08;06:08;06:38;06:38;07:08;07:07;07:38;07:38;08:08;08:09;08:38;08:39;09:08;09:07;09:38;09:39;09:03;09:03;09:52;09:51;09:33;09:34;10:07;10:09;10:22;10:21;10:37;10:39;10:52;10:51;11:07;11:07;11:22;11:24;11:37;11:37;11:52;11:52;12:07;12:07;12:22;12:24;12:37;12:42;12:52;12:52;13:07;13:06;13:22;13:23;13:37;13:38;13:52;13:51;14:07;14:07;14:22;14:24;14:37;14:38;14:52;14:54;15:07;15:07;15:22;15:22;15:37;15:37;15:52;15:52;16:07;16:07;16:22;16:28;16:37;16:37;16:52;16:53;17:07;17:07;17:22;17:24;17:37;17:42;17:52;17:52;18:07;18:09;18:22;18:24;18:37;18:37;18:52;18:51;19:07;19:09;19:22;19:22;19:37;19:45;19:52;19:52;20:07;20:06;20:22;20:22;20:37;20:36;20:52;20:51;21:07;21:06;21:22;21:21;21:37;21:36;21:52;21:51;22:07;22:06;22:22;22:24;22:37;22:37;22:52;22:51;23:08;23:08;;;23:38;23:38;;;00:08;00:07;00:38;00:39
Am Kirschberg;01:07;01:06;;;04:28;04:28;04:58;04:59;05:09;05:12;05:39;05:39;06:09;06:09;06:39;06:39;07:09;07:08;07:39;07:39;08:09;08:10;08:39;08:40;09:09;09:08;09:39;09:40;09:04;09:04;09:53;09:52;09:34;09:36;10:08;10:10;10:23;10:23;10:38;10:41;10:53;10:52;11:08;11:08;11:23;11:25;11:38;11:38;11:53;11:53;12:08;12:08;12:23;12:25;12:38;12:43;12:53;12:53;13:08;13:07;13:23;13:24;13:38;13:39;13:53;13:52;14:08;14:08;14:23;14:25;14:38;14:39;14:53;14:55;15:08;15:08;15:23;15:23;15:38;15:38;15:53;15:53;16:08;16:08;16:23;16:29;16:38;16:38;16:53;16:54;17:08;17:08;17:23;17:25;17:38;17:43;17:53;17:53;18:08;18:10;18:23;18:25;18:38;18:38;18:53;18:52;19:08;19:10;19:23;19:23;19:38;19:46;19:53;19:53;20:08;20:07;20:23;20:23;20:38;20:38;20:53;20:52;21:08;21:07;21:23;21:23;21:38;21:37;21:53;21:53;22:08;22:07;22:23;22:26;22:38;22:38;22:53;22:52;23:09;23:09;;;23:39;23:39;;;00:09;00:08;00:39;00:40
Kiewer Straße;01:09;01:07;;;04:30;04:30;05:00;05:00;05:11;05:13;05:41;05:41;06:11;06:10;06:41;06:40;07:11;07:10;07:41;07:40;08:11;08:11;08:41;08:42;09:11;09:10;09:41;09:42;09:06;09:06;09:55;09:54;09:36;09:37;10:10;10:11;10:25;10:24;10:40;10:42;10:55;10:53;11:10;11:09;11:25;11:26;11:40;11:40;11:55;11:54;12:10;12:10;12:25;12:26;12:40;12:44;12:55;12:55;13:10;13:09;13:25;13:25;13:40;13:40;13:55;13:54;14:10;14:10;14:25;14:27;14:40;14:41;14:55;14:56;15:10;15:10;15:25;15:25;15:40;15:40;15:55;15:55;16:10;16:10;16:25;16:31;16:40;16:40;16:55;16:55;17:10;17:10;17:25;17:26;17:40;17:45;17:55;17:54;18:10;18:11;18:25;18:26;18:40;18:40;18:55;18:54;19:10;19:11;19:25;19:25;19:40;19:47;19:55;19:55;20:10;20:09;20:25;20:25;20:40;20:39;20:55;20:55;21:10;21:09;21:25;21:24;21:40;21:39;21:55;21:54;22:10;22:08;22:25;22:27;22:40;22:39;22:55;22:54;23:11;23:10;;;23:41;23:40;;;00:11;00:10;00:41;00:41
Plovdiver Straße;01:10;01:09;;;04:31;04:31;05:01;05:02;05:12;05:15;05:42;05:42;06:12;06:11;06:42;06:42;07:12;07:11;07:42;07:42;08:12;08:13;08:42;08:43;09:12;09:11;09:42;09:43;09:07;09:07;09:56;09:55;09:37;09:39;10:11;10:13;10:26;10:26;10:41;10:43;10:56;10:55;11:11;11:10;11:26;11:28;11:41;11:41;11:56;11:55;12:11;12:11;12:26;12:28;12:41;12:46;12:56;12:56;13:11;13:10;13:26;13:27;13:41;13:42;13:56;13:55;14:11;14:11;14:26;14:28;14:41;14:42;14:56;14:58;15:11;15:11;15:26;15:26;15:41;15:42;15:56;15:56;16:11;16:11;16:26;16:32;16:41;16:41;16:56;16:57;17:11;17:11;17:26;17:28;17:41;17:46;17:56;17:55;18:11;18:13;18:26;18:28;18:41;18:41;18:56;18:55;19:11;19:13;19:26;19:26;19:41;19:49;19:56;19:56;20:11;20:10;20:26;20:27;20:41;20:40;20:56;20:56;21:11;21:10;21:26;21:26;21:41;21:40;21:56;21:55;22:11;22:10;22:26;22:29;22:41;22:41;22:56;22:55;23:12;23:12;;;23:42;23:42;;;00:12;00:11;00:42;00:43
Jupiterstraße;01:11;01:10;;;04:32;04:32;05:02;05:03;05:13;05:16;05:43;05:43;06:13;06:12;06:43;06:43;07:13;07:12;07:43;07:43;08:13;08:14;08:43;08:44;09:13;09:12;09:43;09:44;09:08;09:08;09:57;09:56;09:38;09:40;10:12;10:14;10:27;10:27;10:42;10:44;10:57;10:56;11:12;11:11;11:27;11:29;11:42;11:42;11:57;11:57;12:12;12:12;12:27;12:29;12:42;12:47;12:57;12:57;13:12;13:11;13:27;13:28;13:42;13:43;13:57;13:56;14:12;14:12;14:27;14:29;14:42;14:43;14:57;14:59;15:12;15:12;15:27;15:27;15:42;15:43;15:57;15:57;16:12;16:12;16:27;16:33;16:42;16:42;16:57;16:58;17:12;17:12;17:27;17:29;17:42;17:47;17:57;17:57;18:12;18:14;18:27;18:29;18:42;18:42;18:57;18:56;19:12;19:14;19:27;19:27;19:42;19:50;19:57;19:57;20:12;20:11;20:27;20:28;20:42;20:42;20:57;20:57;21:12;21:11;21:27;21:27;21:42;21:41;21:57;21:56;22:12;22:11;22:27;22:30;22:42;22:42;22:57;22:56;23:13;23:13;;;23:43;23:43;;;00:13;00:12;00:43;00:44
Saturnstraße;01:12;01:11;;;04:33;04:33;05:03;05:03;05:14;05:17;05:44;05:44;06:14;06:13;06:44;06:44;07:14;07:13;07:44;07:43;08:14;08:15;08:44;08:45;09:14;09:13;09:44;09:45;09:09;09:09;09:58;09:57;09:39;09:41;10:13;10:15;10:28;10:27;10:43;10:45;10:58;10:57;11:13;11:12;11:28;11:30;11:43;11:43;11:58;11:57;12:13;12:13;12:28;12:30;12:43;12:48;12:58;12:58;13:13;13:12;13:28;13:29;13:43;13:44;13:58;13:57;14:13;14:13;14:28;14:30;14:43;14:44;14:58;15:00;15:13;15:13;15:28;15:28;15:43;15:44;15:58;15:58;16:13;16:13;16:28;16:34;16:43;16:43;16:58;16:59;17:13;17:13;17:28;17:30;17:43;17:48;17:58;17:57;18:13;18:15;18:28;18:30;18:43;18:43;18:58;18:57;19:13;19:15;19:28;19:28;19:43;19:51;19:58;19:58;20:13;20:12;20:28;20:29;20:43;20:42;20:58;20:58;21:13;21:12;21:28;21:28;21:43;21:42;21:58;21:57;22:13;22:12;22:28;22:31;22:43;22:43;22:58;22:57;23:14;23:14;;;23:44;23:44;;;00:14;00:13;00:44;00:45
Miltitz;01:13;01:12;;;04:34;04:34;05:04;05:04;05:15;05:18;05:45;05:45;06:15;06:14;06:45;06:45;07:15;07:13;07:45;07:44;08:15;08:16;08:45;08:46;09:15;09:14;09:45;09:46;09:10;09:09;09:59;09:57;09:40;09:41;10:14;10:15;10:29;10:28;10:44;10:46;10:59;10:58;11:14;11:13;11:29;11:30;11:44;11:44;11:59;11:58;12:14;12:14;12:29;12:31;12:44;12:49;12:59;12:58;13:14;13:13;13:29;13:29;13:44;13:44;13:59;13:58;14:14;14:14;14:29;14:31;14:44;14:45;14:59;15:00;15:14;15:14;15:29;15:29;15:44;15:44;15:59;15:59;16:14;16:14;16:29;16:35;16:44;16:43;16:59;16:59;17:14;17:14;17:29;17:31;17:44;17:49;17:59;17:58;18:14;18:15;18:29;18:31;18:44;18:44;18:59;18:58;19:14;19:16;19:29;19:29;19:44;19:52;19:59;19:59;20:14;20:13;20:29;20:30;20:44;20:43;20:59;20:58;21:14;21:13;21:29;21:28;21:44;21:43;21:59;21:58;22:14;22:12;22:29;22:31;22:44;22:43;22:59;22:58;23:15;23:14;;;23:45;23:44;;;00:15;00:14;00:45;00:45
