Kurs:;36;;42;;35;;41;;44;;31;;34;;41;;44;;31;;34;;41;;36;;44;;31;;42;;32;;34;;36;;41;;42;;44;;31;;43;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;31;;32;;33;;34;;36;;35;;41;;42;;43;;44;;32;;33;;36;;35;;42;;43;;44;;32;;33;;36;;35;;42;;43;;32;
Hs;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist;Soll;Ist
Reudnitz, Koehlerstraße;00:33;00:34;;;;;;;;;;;05:03;05:03;05:33;05:33;06:03;06:03;06:33;06:33;07:03;07:05;07:33;07:35;;;08:03;08:04;08:24;08:24;;;08:39;08:41;08:54;08:54;09:09;09:10;09:24;09:26;09:39;09:42;09:54;09:56;10:09;10:10;;;10:20;10:22;10:30;10:31;10:40;10:40;10:50;10:50;11:00;11:00;11:10;11:10;11:20;11:21;11:30;11:30;11:40;11:41;11:50;11:56;12:00;12:01;12:10;12:11;12:20;12:19;12:30;12:31;12:40;12:41;12:50;12:50;13:00;13:01;13:10;13:09;13:20;13:21;13:30;13:33;13:40;13:41;13:50;13:51;14:00;14:01;14:10;14:11;14:20;14:21;14:30;14:31;14:40;14:40;14:50;14:50;15:00;15:00;15:10;15:13;15:20;15:20;15:30;15:30;15:40;15:43;15:50;15:50;16:00;16:02;16:10;16:10;16:20;16:21;16:30;16:30;16:40;16:40;16:50;16:51;17:00;17:00;17:10;17:11;17:20;17:20;17:30;17:30;17:40;17:40;17:50;17:56;18:00;18:02;18:10;18:11;18:20;18:21;18:30;18:31;18:40;18:42;18:50;18:49;19:00;19:04;19:09;19:11;19:24;19:28;;;19:39;19:41;19:54;19:55;20:09;20:11;20:24;20:25;20:39;20:41;20:54;20:55;21:09;21:11;21:24;21:26;21:39;21:40;21:54;21:55;22:09;22:10;22:24;22:24;22:33;22:35;;;23:03;23:04;23:33;23:34;00:03;00:04
Gerichtsweg;00:35;00:35;;;;;;;;;;;05:05;05:05;05:35;05:34;06:05;06:04;06:35;06:35;07:05;07:07;07:35;07:37;;;08:05;08:06;08:26;08:26;;;08:41;08:43;08:56;08:57;09:11;09:12;09:26;09:28;09:41;09:45;09:56;09:57;10:11;10:12;;;10:22;10:24;10:32;10:33;10:42;10:42;10:52;10:52;11:02;11:03;11:12;11:13;11:22;11:22;11:32;11:33;11:42;11:42;11:52;11:58;12:02;12:03;12:12;12:12;12:22;12:21;12:32;12:33;12:42;12:43;12:52;12:51;13:02;13:03;13:12;13:12;13:22;13:22;13:32;13:34;13:42;13:43;13:52;13:52;14:02;14:03;14:12;14:13;14:22;14:22;14:32;14:33;14:42;14:42;14:52;14:52;15:02;15:01;15:12;15:15;15:22;15:22;15:32;15:31;15:42;15:45;15:52;15:52;16:02;16:03;16:12;16:12;16:22;16:23;16:32;16:31;16:42;16:42;16:52;16:52;17:02;17:01;17:12;17:12;17:22;17:22;17:32;17:32;17:42;17:42;17:52;17:58;18:02;18:03;18:12;18:13;18:22;18:22;18:32;18:32;18:42;18:44;18:52;18:51;19:02;19:05;19:11;19:12;19:26;19:30;;;19:41;19:42;19:56;19:56;20:11;20:12;20:26;20:26;20:41;20:42;20:56;20:57;21:11;21:13;21:26;21:27;21:41;21:42;21:56;21:57;22:11;22:12;22:26;22:25;22:35;22:36;;;23:05;23:06;23:35;23:36;00:05;00:05
Johannisplatz;00:37;00:37;;;;;;;;;;;05:07;05:07;05:37;05:37;06:07;06:07;06:37;06:37;07:07;07:08;07:37;07:40;;;08:07;08:07;08:28;08:28;;;08:43;08:46;08:58;08:58;09:13;09:14;09:28;09:31;09:43;09:48;09:58;10:00;10:13;10:14;;;10:24;10:26;10:34;10:36;10:44;10:43;10:54;10:54;11:04;11:04;11:14;11:16;11:24;11:24;11:34;11:36;11:44;11:45;11:54;12:00;12:04;12:04;12:14;12:15;12:24;12:23;12:34;12:34;12:44;12:46;12:54;12:54;13:04;13:04;13:14;13:15;13:24;13:25;13:34;13:37;13:44;13:45;13:54;13:55;14:04;14:04;14:14;14:15;14:24;14:25;14:34;14:34;14:44;14:43;14:54;14:54;15:04;15:04;15:14;15:17;15:24;15:25;15:34;15:34;15:44;15:47;15:54;15:54;16:04;16:05;16:14;16:14;16:24;16:25;16:34;16:34;16:44;16:45;16:54;16:54;17:04;17:04;17:14;17:15;17:24;17:25;17:34;17:34;17:44;17:45;17:54;18:01;18:04;18:06;18:14;18:15;18:24;18:24;18:34;18:36;18:44;18:46;18:54;18:53;19:04;19:07;19:13;19:14;19:28;19:33;;;19:43;19:44;19:58;19:58;20:13;20:14;20:28;20:28;20:43;20:44;20:58;20:58;21:13;21:16;21:28;21:29;21:43;21:44;21:58;21:58;22:13;22:13;22:28;22:28;22:37;22:38;;;23:07;23:07;23:37;23:38;00:07;00:07
Augustusplatz;00:39;00:39;;;;;;;;;;;05:09;05:09;05:39;05:38;06:09;06:08;06:39;06:39;07:09;07:10;07:39;07:41;;;08:09;08:09;08:30;08:29;;;08:45;08:47;09:00;09:00;09:15;09:16;09:30;09:33;09:45;09:49;10:00;10:01;10:15;10:16;;;10:26;10:28;10:36;10:38;10:46;10:45;10:56;10:55;11:06;11:06;11:16;11:18;11:26;11:25;11:36;11:37;11:46;11:46;11:56;12:01;12:06;12:07;12:16;12:17;12:26;12:26;12:36;12:36;12:46;12:48;12:56;12:56;13:06;13:06;13:16;13:17;13:26;13:27;13:36;13:39;13:46;13:46;13:56;13:57;14:06;14:06;14:16;14:17;14:26;14:27;14:36;14:36;14:46;14:45;14:56;14:56;15:06;15:07;15:16;15:20;15:26;15:27;15:36;15:36;15:46;15:49;15:56;15:55;16:06;16:07;16:16;16:17;16:26;16:27;16:36;16:36;16:46;16:47;16:56;16:55;17:06;17:06;17:16;17:17;17:26;17:28;17:36;17:36;17:46;17:47;17:56;18:04;18:06;18:07;18:16;18:17;18:26;18:26;18:36;18:37;18:46;18:48;18:56;18:56;19:06;19:09;19:15;19:16;19:30;19:35;;;19:45;19:46;20:00;20:00;20:15;20:16;20:30;20:30;20:45;20:46;21:00;21:00;21:15;21:18;21:30;21:31;21:45;21:46;22:00;22:00;22:15;22:15;22:30;22:30;22:39;22:41;;;23:09;23:09;23:39;23:40;00:09;00:09
Hauptbahnhof;00:42;00:41;;;;;;;;;04:47;04:48;05:17;05:18;05:47;05:48;06:17;06:18;06:47;06:48;07:17;07:18;07:47;07:48;07:37;07:37;08:17;08:16;08:33;08:33;;;08:48;08:51;09:03;09:03;09:18;09:19;09:33;09:36;09:48;09:52;10:03;10:04;10:18;10:19;;;10:29;10:31;10:39;10:40;10:49;10:48;10:59;10:58;11:09;11:09;11:19;11:21;11:29;11:28;11:39;11:40;11:49;11:51;11:59;12:04;12:09;12:09;12:19;12:19;12:29;12:28;12:39;12:39;12:49;12:51;12:59;12:58;13:09;13:09;13:19;13:21;13:29;13:30;13:39;13:42;13:49;13:49;13:59;14:00;14:09;14:09;14:19;14:19;14:29;14:30;14:39;14:39;14:49;14:48;14:59;14:58;15:09;15:10;15:19;15:22;15:29;15:30;15:39;15:39;15:49;15:52;15:59;15:58;16:09;16:10;16:19;16:21;16:29;16:30;16:39;16:39;16:49;16:49;16:59;16:58;17:09;17:09;17:19;17:19;17:29;17:31;17:39;17:39;17:49;17:51;17:59;18:07;18:09;18:15;18:19;18:19;18:29;18:28;18:39;18:40;18:49;18:51;18:59;18:58;19:09;19:12;19:18;19:19;19:33;19:39;;;19:48;19:49;20:03;20:03;20:18;20:19;20:33;20:33;20:48;20:49;21:03;21:03;21:18;21:21;21:33;21:34;21:48;21:49;22:03;22:03;22:18;22:18;22:33;22:33;22:47;22:48;;;23:17;23:16;23:47;23:48;00:17;00:18
Goerdelerring;;;;;;;;;;;04:49;04:50;05:19;05:20;05:49;05:50;06:19;06:20;06:49;06:50;07:19;07:20;07:49;07:50;07:39;07:40;08:19;08:19;08:35;08:35;;;08:50;08:52;09:05;09:05;09:20;09:22;09:35;09:38;09:50;09:55;10:05;10:07;10:20;10:22;;;10:31;10:34;10:41;10:43;10:51;10:50;11:01;11:01;11:11;11:11;11:21;11:23;11:31;11:31;11:41;11:43;11:51;11:53;12:01;12:07;12:11;12:11;12:21;12:22;12:31;12:31;12:41;12:42;12:51;12:53;13:01;13:01;13:11;13:12;13:21;13:23;13:31;13:32;13:41;13:45;13:51;13:52;14:01;14:02;14:11;14:11;14:21;14:22;14:31;14:32;14:41;14:41;14:51;14:50;15:01;15:02;15:11;15:13;15:21;15:25;15:31;15:34;15:41;15:41;15:51;15:55;16:01;16:01;16:11;16:13;16:21;16:24;16:31;16:32;16:41;16:41;16:51;16:52;17:01;17:01;17:11;17:12;17:21;17:22;17:31;17:34;17:41;17:41;17:51;17:53;18:01;18:10;18:11;18:17;18:21;18:22;18:31;18:31;18:41;18:43;18:51;18:53;19:01;19:01;19:11;19:16;19:20;19:22;19:35;19:41;;;19:50;19:52;20:05;20:05;20:20;20:22;20:35;20:35;20:50;20:52;21:05;21:05;21:20;21:23;21:35;21:37;21:50;21:52;22:05;22:05;22:20;22:20;22:35;22:35;22:49;22:50;;;23:19;23:19;23:49;23:50;00:19;00:20
Leibnizstraße;;;;;;;;;;;04:51;04:52;05:21;05:22;05:51;05:52;06:21;06:22;06:51;06:52;07:21;07:22;07:51;07:52;07:41;07:41;08:21;08:21;08:37;08:37;;;08:52;08:54;09:07;09:07;09:22;09:23;09:37;09:40;09:52;09:56;10:07;10:08;10:22;10:24;;;10:33;10:35;10:43;10:44;10:53;10:52;11:03;11:02;11:13;11:13;11:23;11:25;11:33;11:33;11:43;11:44;11:53;11:55;12:03;12:08;12:13;12:13;12:23;12:24;12:33;12:33;12:43;12:43;12:53;12:58;13:03;13:02;13:13;13:13;13:23;13:25;13:33;13:34;13:43;13:46;13:53;13:53;14:03;14:04;14:13;14:13;14:23;14:23;14:33;14:34;14:43;14:45;14:53;14:53;15:03;15:04;15:13;15:14;15:23;15:28;15:33;15:35;15:43;15:43;15:53;15:56;16:03;16:02;16:13;16:14;16:23;16:26;16:33;16:34;16:43;16:43;16:53;16:54;17:03;17:03;17:13;17:13;17:23;17:24;17:33;17:35;17:43;17:43;17:53;17:55;18:03;18:12;18:13;18:19;18:23;18:23;18:33;18:33;18:43;18:44;18:53;18:55;19:03;19:02;19:13;19:17;19:22;19:23;19:37;19:43;;;19:52;19:53;20:07;20:07;20:22;20:23;20:37;20:37;20:52;20:53;21:07;21:07;21:22;21:25;21:37;21:38;21:52;21:54;22:07;22:07;22:22;22:22;22:37;22:37;22:51;22:52;;;23:21;23:20;23:51;23:52;00:21;00:24
Waldplatz;;;;;;;03:58;03:58;04:28;04:32;04:53;04:53;05:23;05:23;05:53;05:53;06:23;06:24;06:53;06:53;07:23;07:23;07:53;07:53;07:43;07:43;08:23;08:22;08:39;08:39;08:15;08:15;08:54;08:56;09:09;09:09;09:24;09:25;09:39;09:42;09:54;09:58;10:09;10:10;10:24;10:25;10:04;10:04;10:35;10:37;10:45;10:46;10:55;10:54;11:05;11:05;11:15;11:15;11:25;11:27;11:35;11:35;11:45;11:46;11:55;11:57;12:05;12:11;12:15;12:15;12:25;12:26;12:35;12:35;12:45;12:44;12:55;13:00;13:05;13:05;13:15;13:15;13:25;13:27;13:35;13:35;13:45;13:49;13:55;13:55;14:05;14:06;14:15;14:15;14:25;14:26;14:35;14:35;14:45;14:47;14:55;14:54;15:05;15:05;15:15;15:17;15:25;15:30;15:35;15:37;15:45;15:45;15:55;15:59;16:05;16:05;16:15;16:16;16:25;16:27;16:35;16:35;16:45;16:45;16:55;16:56;17:05;17:05;17:15;17:15;17:25;17:26;17:35;17:38;17:45;17:44;17:55;17:57;18:05;18:14;18:15;18:21;18:25;18:25;18:35;18:35;18:45;18:47;18:55;18:56;19:05;19:04;19:15;19:19;19:24;19:26;19:39;19:44;;;19:54;19:55;20:09;20:08;20:24;20:25;20:39;20:39;20:54;20:54;21:09;21:09;21:24;21:26;21:39;21:40;21:54;21:56;22:09;22:08;22:24;22:23;22:39;22:38;22:53;22:53;;;23:23;23:23;23:53;23:53;00:23;00:26
Feuerbachstraße;;;;;;;04:00;03:59;04:30;04:33;04:55;04:55;05:25;05:24;05:55;05:55;06:25;06:25;06:55;06:55;07:25;07:24;07:55;07:54;07:45;07:44;08:25;08:24;08:41;08:40;08:17;08:17;08:56;08:57;09:11;09:10;09:26;09:26;09:41;09:43;09:56;09:59;10:11;10:12;10:26;10:26;10:06;10:06;10:37;10:38;10:47;10:47;10:57;10:55;11:07;11:06;11:17;11:17;11:27;11:29;11:37;11:36;11:47;11:47;11:57;11:59;12:07;12:12;12:17;12:16;12:27;12:27;12:37;12:36;12:47;12:46;12:57;13:02;13:07;13:06;13:17;13:17;13:27;13:29;13:37;13:36;13:47;13:50;13:57;13:56;14:07;14:08;14:17;14:17;14:27;14:27;14:37;14:37;14:47;14:49;14:57;14:56;15:07;15:07;15:17;15:18;15:27;15:31;15:37;15:38;15:47;15:47;15:57;16:00;16:07;16:06;16:17;16:18;16:27;16:29;16:37;16:37;16:47;16:47;16:57;16:57;17:07;17:06;17:17;17:17;17:27;17:27;17:37;17:40;17:47;17:46;17:57;17:59;18:07;18:16;18:17;18:23;18:27;18:26;18:37;18:36;18:47;18:49;18:57;18:58;19:07;19:05;19:17;19:20;19:26;19:27;19:41;19:45;;;19:56;19:56;20:11;20:10;20:26;20:26;20:41;20:41;20:56;20:56;21:11;21:11;21:26;21:28;21:41;21:41;21:56;21:57;22:11;22:10;22:26;22:25;22:41;22:39;22:55;22:55;;;23:25;23:24;23:55;23:55;00:25;00:27
Am Mückenschlösschen;;;;;;;04:01;04:00;04:31;04:34;04:56;04:56;05:26;05:26;05:56;05:56;06:26;06:26;06:56;06:56;07:26;07:25;07:56;07:55;07:46;07:45;08:26;08:25;08:42;08:41;08:18;08:18;08:57;08:58;09:12;09:11;09:27;09:27;09:42;09:44;09:57;10:00;10:12;10:13;10:27;10:27;10:07;10:07;10:38;10:40;10:48;10:49;10:58;10:56;11:08;11:07;11:18;11:18;11:28;11:31;11:38;11:37;11:48;11:48;11:58;12:00;12:08;12:13;12:18;12:17;12:28;12:28;12:38;12:38;12:48;12:47;12:58;13:03;13:08;13:08;13:18;13:18;13:28;13:30;13:38;13:37;13:48;13:51;13:58;13:57;14:08;14:09;14:18;14:18;14:28;14:28;14:38;14:38;14:48;14:50;14:58;14:57;15:08;15:08;15:18;15:19;15:28;15:33;15:38;15:39;15:48;15:48;15:58;16:01;16:08;16:07;16:18;16:19;16:28;16:30;16:38;16:38;16:48;16:48;16:58;16:58;17:08;17:07;17:18;17:17;17:28;17:28;17:38;17:41;17:48;17:47;17:58;18:00;18:08;18:17;18:18;18:24;18:28;18:27;18:38;18:37;18:48;18:50;18:58;18:59;19:08;19:06;19:18;19:21;19:27;19:28;19:42;19:46;;;19:57;19:57;20:12;20:11;20:27;20:27;20:42;20:42;20:57;20:57;21:12;21:12;21:27;21:29;21:42;21:42;21:57;21:58;22:12;22:11;22:27;22:26;22:42;22:40;22:56;22:56;;;23:26;23:25;23:56;23:56;00:26;00:28
Stallbaumstraße;;;;;;;04:03;04:02;04:33;04:36;04:58;04:58;05:28;05:28;05:58;05:58;06:28;06:29;06:58;06:59;07:28;07:28;07:58;07:57;07:48;07:47;08:28;08:27;08:44;08:43;08:20;08:20;08:59;09:00;09:14;09:13;09:29;09:30;09:44;09:47;09:59;10:02;10:14;10:15;10:29;10:29;10:09;10:10;10:41;10:42;10:51;10:51;11:01;10:58;11:11;11:10;11:21;11:20;11:31;11:33;11:41;11:40;11:51;11:50;12:01;12:02;12:11;12:15;12:21;12:19;12:31;12:30;12:41;12:40;12:51;12:49;13:01;13:04;13:11;13:10;13:21;13:20;13:31;13:32;13:41;13:40;13:51;13:53;14:01;13:59;14:11;14:11;14:21;14:20;14:31;14:31;14:41;14:40;14:51;14:52;15:01;14:59;15:11;15:10;15:21;15:22;15:31;15:35;15:41;15:41;15:51;15:50;16:01;16:03;16:11;16:10;16:21;16:21;16:31;16:32;16:41;16:40;16:51;16:50;17:01;17:01;17:11;17:10;17:21;17:20;17:31;17:31;17:41;17:43;17:51;17:50;18:01;18:02;18:11;18:20;18:21;18:26;18:31;18:29;18:41;18:40;18:51;18:52;19:01;19:02;19:11;19:09;19:21;19:23;19:29;19:30;19:44;19:49;;;19:59;19:59;20:14;20:13;20:29;20:29;20:44;20:44;20:59;20:59;21:14;21:15;21:29;21:32;21:44;21:45;21:59;22:01;22:14;22:14;22:29;22:29;22:44;22:43;22:58;22:58;;;23:28;23:28;23:58;23:59;00:28;00:30
Menckestraße;;;;;;;04:04;04:03;04:34;04:37;04:59;05:00;05:29;05:29;05:59;05:59;06:29;06:30;06:59;07:00;07:29;07:29;07:59;07:58;07:49;07:49;08:29;08:29;08:45;08:44;08:21;08:21;09:00;09:01;09:15;09:14;09:30;09:31;09:45;09:48;10:00;10:03;10:15;10:16;10:30;10:30;10:10;10:11;10:42;10:43;10:52;10:52;11:02;11:00;11:12;11:11;11:22;11:22;11:32;11:34;11:42;11:42;11:52;11:51;12:02;12:03;12:12;12:17;12:22;12:21;12:32;12:32;12:42;12:41;12:52;12:50;13:02;13:06;13:12;13:12;13:22;13:21;13:32;13:33;13:42;13:41;13:52;13:54;14:02;14:01;14:12;14:12;14:22;14:21;14:32;14:32;14:42;14:41;14:52;14:54;15:02;15:01;15:12;15:11;15:22;15:23;15:32;15:36;15:42;15:42;15:52;15:51;16:02;16:06;16:12;16:11;16:22;16:22;16:32;16:33;16:42;16:41;16:52;16:51;17:02;17:02;17:12;17:11;17:22;17:21;17:32;17:32;17:42;17:45;17:52;17:51;18:02;18:04;18:12;18:21;18:22;18:28;18:32;18:31;18:42;18:41;18:52;18:53;19:02;19:03;19:12;19:10;19:22;19:25;19:30;19:31;19:45;19:50;;;20:00;20:01;20:15;20:14;20:30;20:31;20:45;20:46;21:00;21:00;21:15;21:16;21:30;21:33;21:45;21:46;22:00;22:02;22:15;22:15;22:30;22:30;22:45;22:44;22:59;22:59;;;23:29;23:29;23:59;00:00;00:29;00:32
G-Schumann-/Lindenth. S.;;;;;;;04:06;04:05;04:36;04:39;05:01;05:02;05:31;05:31;06:01;06:01;06:31;06:31;07:01;07:02;07:31;07:30;08:01;08:00;07:51;07:51;08:31;08:30;08:47;08:47;08:23;08:23;09:02;09:03;09:17;09:15;09:32;09:33;09:47;09:50;10:02;10:05;10:17;10:18;10:32;10:32;10:12;10:12;10:44;10:45;10:54;10:54;11:04;11:02;11:14;11:14;11:24;11:24;11:34;11:36;11:44;11:44;11:54;11:53;12:04;12:05;12:14;12:18;12:24;12:23;12:34;12:33;12:44;12:44;12:54;12:53;13:04;13:08;13:14;13:14;13:24;13:23;13:34;13:35;13:44;13:44;13:54;13:56;14:04;14:03;14:14;14:14;14:24;14:24;14:34;14:33;14:44;14:44;14:54;14:56;15:04;15:03;15:14;15:14;15:24;15:26;15:34;15:38;15:44;15:44;15:54;15:53;16:04;16:08;16:14;16:14;16:24;16:24;16:34;16:35;16:44;16:44;16:54;16:53;17:04;17:04;17:14;17:14;17:24;17:23;17:34;17:35;17:44;17:47;17:54;17:53;18:04;18:06;18:14;18:23;18:24;18:29;18:34;18:33;18:44;18:44;18:54;18:56;19:04;19:05;19:14;19:12;19:24;19:27;19:32;19:33;19:47;19:53;;;20:02;20:02;20:17;20:17;20:32;20:33;20:47;20:48;21:02;21:02;21:17;21:18;21:32;21:35;21:47;21:48;22:02;22:03;22:17;22:17;22:32;22:32;22:47;22:46;23:01;23:02;;;23:31;23:32;00:01;00:02;00:31;00:33
S-Bf. Coppiplatz;;;;;;;04:08;04:07;04:38;04:40;05:03;05:03;05:33;05:32;06:03;06:02;06:33;06:33;07:03;07:03;07:33;07:33;08:03;08:02;07:53;07:53;08:33;08:32;08:49;08:48;08:25;08:24;09:04;09:05;09:19;09:17;09:34;09:35;09:49;09:52;10:04;10:07;10:19;10:20;10:34;10:33;10:14;10:14;10:46;10:47;10:56;10:56;11:06;11:04;11:16;11:15;11:26;11:26;11:36;11:37;11:46;11:45;11:56;11:55;12:06;12:06;12:16;12:20;12:26;12:24;12:36;12:35;12:46;12:45;12:56;12:55;13:06;13:09;13:16;13:16;13:26;13:24;13:36;13:36;13:46;13:45;13:56;13:57;14:06;14:05;14:16;14:15;14:26;14:26;14:36;14:36;14:46;14:45;14:56;14:57;15:06;15:05;15:16;15:15;15:26;15:27;15:36;15:40;15:46;15:45;15:56;15:54;16:06;16:09;16:16;16:15;16:26;16:26;16:36;16:37;16:46;16:45;16:56;16:55;17:06;17:05;17:16;17:15;17:26;17:24;17:36;17:36;17:46;17:49;17:56;17:55;18:06;18:08;18:16;18:25;18:26;18:30;18:36;18:35;18:46;18:46;18:56;18:57;19:06;19:06;19:16;19:14;19:26;19:29;19:34;19:35;19:49;19:54;;;20:04;20:03;20:19;20:18;20:34;20:35;20:49;20:50;21:04;21:03;21:19;21:20;21:34;21:36;21:49;21:50;22:04;22:05;22:19;22:18;22:34;22:34;22:49;22:47;23:03;23:03;;;23:33;23:33;00:03;00:03;00:33;00:34
Viertelsweg;;;;;;;04:09;04:08;04:39;04:41;05:04;05:05;05:34;05:34;06:04;06:03;06:34;06:34;07:04;07:04;07:34;07:34;08:04;08:03;07:54;07:54;08:34;08:33;08:50;08:49;08:26;08:26;09:05;09:06;09:20;09:18;09:35;09:36;09:50;09:53;10:05;10:08;10:20;10:21;10:35;10:35;10:15;10:15;10:47;10:48;10:57;10:57;11:07;11:06;11:17;11:17;11:27;11:27;11:37;11:38;11:47;11:47;11:57;11:56;12:07;12:07;12:17;12:21;12:27;12:26;12:37;12:36;12:47;12:47;12:57;12:56;13:07;13:11;13:17;13:17;13:27;13:26;13:37;13:37;13:47;13:47;13:57;13:59;14:07;14:06;14:17;14:16;14:27;14:27;14:37;14:37;14:47;14:46;14:57;14:59;15:07;15:06;15:17;15:16;15:27;15:29;15:37;15:41;15:47;15:47;15:57;15:55;16:07;16:11;16:17;16:17;16:27;16:27;16:37;16:38;16:47;16:47;16:57;16:56;17:07;17:06;17:17;17:17;17:27;17:25;17:37;17:37;17:47;17:50;17:57;17:56;18:07;18:09;18:17;18:26;18:27;18:32;18:37;18:36;18:47;18:47;18:57;18:59;19:07;19:08;19:17;19:16;19:27;19:30;19:35;19:36;19:50;19:56;;;20:05;20:05;20:20;20:19;20:35;20:36;20:50;20:51;21:05;21:05;21:20;21:21;21:35;21:38;21:50;21:51;22:05;22:06;22:20;22:20;22:35;22:35;22:50;22:49;23:04;23:04;;;23:34;23:35;00:04;00:05;00:34;00:35
Landsb./M.-Lieberm.-Str.;;;;;;;04:10;04:09;04:40;04:42;05:05;05:05;05:35;05:35;06:05;06:05;06:35;06:35;07:05;07:06;07:35;07:35;08:05;08:04;07:55;07:55;08:35;08:34;08:51;08:50;08:27;08:27;09:06;09:07;09:21;09:19;09:36;09:38;09:51;09:54;10:06;10:08;10:21;10:22;10:36;10:36;10:16;10:16;10:48;10:50;10:58;10:58;11:08;11:07;11:18;11:17;11:28;11:28;11:38;11:39;11:48;11:48;11:58;11:57;12:08;12:08;12:18;12:22;12:28;12:27;12:38;12:37;12:48;12:47;12:58;12:57;13:08;13:12;13:18;13:18;13:28;13:27;13:38;13:38;13:48;13:48;13:58;14:00;14:08;14:08;14:18;14:17;14:28;14:28;14:38;14:38;14:48;14:47;14:58;15:00;15:08;15:07;15:18;15:17;15:28;15:30;15:38;15:42;15:48;15:48;15:58;15:56;16:08;16:12;16:18;16:18;16:28;16:28;16:38;16:39;16:48;16:48;16:58;16:57;17:08;17:08;17:18;17:18;17:28;17:26;17:38;17:38;17:48;17:51;17:58;17:57;18:08;18:11;18:18;18:27;18:28;18:33;18:38;18:37;18:48;18:48;18:58;19:00;19:08;19:08;19:18;19:17;19:28;19:31;19:36;19:37;19:51;19:57;;;20:06;20:06;20:21;20:20;20:36;20:37;20:51;20:52;21:06;21:06;21:21;21:22;21:36;21:40;21:51;21:52;22:06;22:07;22:21;22:21;22:36;22:36;22:51;22:50;23:05;23:06;;;23:35;23:36;00:05;00:06;00:35;00:36
Beyerleinstraße;;;;;;;04:12;04:10;04:42;04:43;05:07;05:06;05:37;05:36;06:07;06:05;06:37;06:36;07:07;07:07;07:37;07:36;08:07;08:06;07:57;07:56;08:37;08:36;08:53;08:51;08:29;08:28;09:08;09:08;09:23;09:21;09:38;09:39;09:53;09:55;10:08;10:09;10:23;10:23;10:38;10:38;10:18;10:18;10:50;10:51;11:00;10:59;11:10;11:08;11:20;11:19;11:30;11:29;11:40;11:41;11:50;11:49;12:00;11:58;12:10;12:09;12:20;12:23;12:30;12:29;12:40;12:38;12:50;12:48;13:00;12:58;13:10;13:13;13:20;13:20;13:30;13:28;13:40;13:39;13:50;13:49;14:00;14:01;14:10;14:10;14:20;14:18;14:30;14:29;14:40;14:39;14:50;14:49;15:00;15:01;15:10;15:08;15:20;15:18;15:30;15:31;15:40;15:43;15:50;15:48;16:00;15:58;16:10;16:13;16:20;16:19;16:30;16:29;16:40;16:40;16:50;16:49;17:00;16:58;17:10;17:09;17:20;17:19;17:30;17:28;17:40;17:39;17:50;17:52;18:00;17:58;18:10;18:12;18:20;18:28;18:30;18:35;18:40;18:39;18:50;18:51;19:00;19:01;19:10;19:09;19:20;19:18;19:30;19:33;19:38;19:38;19:53;19:58;;;20:08;20:07;20:23;20:21;20:38;20:38;20:53;20:53;21:08;21:07;21:23;21:23;21:38;21:41;21:53;21:53;22:08;22:08;22:23;22:22;22:38;22:37;22:53;22:51;23:07;23:07;;;23:37;23:37;00:07;00:07;00:37;00:37
